ID,Course,MP1,Daily Grade,daily grade,Daily Grade,Weekly Assessment,Daily Grade,daily grade,
274020577,MKS21Q02-01,-,,,,,,,
227327202,MKS21Q02-01,87.5,,,,,100,75,late twice
203892765,MKS21Q02-01,34.38,,100,0,0,75,100,absent for assessment
227024767,MKS21Q02-01,0,,,,,,0,
270035843,MKS21Q02-01,0,,0,0,0,0,0,
209262633,MKS21Q02-01,100,,,,,,100,
206321127,MKS21Q02-01,0,,,,,,0,
234107233,MKS21Q02-01,100,,100,100,100,100,100,excellent
205188162,MKS21Q02-01,0,,,,,,0,
268431871,MKS21Q02-01,50,,,,,100,0,
273917211,MKS21Q02-01,100,,,,,,100,
235115425,MKS21Q02-01,100,,100,100,100,100,100,
237682158,MKS21Q02-01,0,,0,0,0,0,0,
200020683,MKS21Q02-01,87.5,,100,100,100,0,100,
226456010,MKS21Q02-01,-,,,,,,,
200084101,MKS21Q02-01,-,,,,,,,
268380417,MKS21Q03-01,18.75,,75,0,0,0,75,Absent for assessment 
274172352,MKS21Q03-01,0,,0,0,0,0,0,
270602378,MKS21Q03-01,81.88,,100,100,95,0,75,
270881378,MKS21Q03-01,12.5,,0,0,0,100,0,
269415683,MKS21Q03-01,33.34,,100,,0,100,0,
268503612,MKS21Q03-01,16.67,,0,,0,0,100,Attendance
275095230,MKS21Q03-01,25,,100,0,0,100,0,attendance
268567583,MKS21Q03-01,33.34,,,100,0,0,100,Absent for assessment 
270657141,MKS21Q03-01,25,,100,0,0,0,100,
270131667,MKS21Q03-01,0,,,,0,0,0,
270058803,MKS21Q03-01,0,,,,0,0,0,
274709641,MKS21Q03-01,97.5,,100,100,95,100,100,
269160982,MKS21Q03-01,45.84,,,100,0,75,100,Absent for assessment 
274941814,MKS21Q03-01,-,,,,,,,
268628732,MKS21Q03-01,-,,,,,,,
268967361,MKS21Q03-01,34.38,,100,0,0,75,100,Absent for assessment
202901666,SKS21Q02-01,100,,100,,,100,100,
208575308,SKS21Q02-01,100,,100,,,100,100,
269519575,SKS21Q02-01,-,,,,,,,
209668367,SKS21Q02-01,0,,0,,,0,0,
274411263,SKS21Q02-01,0,,,,,,0,
270491947,SKS21Q02-01,75,,0,100,100,100,0,
209819762,SKS21Q02-01,100,,,,,100,100,
214899288,SKS21Q02-01,33.34,,0,,0,100,100,Absent for assessment
204452536,SKS21Q02-01,100,,,,,,100,
222963969,SKS21Q02-01,0,,0,,0,0,0,
203130570,SKS21Q02-01,31.25,,75,0,0,100,75,Cellphone absent for assessment
203288535,SKS21Q02-01,-,,,,,,,
222308884,SKS21Q02-01,0,,0,0,0,0,,
